"Grouping Variable/N";AAR(-10);AAR(-9);AAR(-8);AAR(-7);AAR(-6);AAR(-5);AAR(-4);AAR(-3);AAR(-2);AAR(-1);AAR(0);AAR(1);AAR(2);AAR(3);AAR(4);AAR(5);AAR(6);AAR(7);AAR(8);AAR(9);AAR(10);AAR(11);AAR(12);AAR(13);AAR(14);AAR(15);AAR(16);AAR(17);AAR(18);AAR(19);AAR(20);AAR(21);AAR(22);AAR(23);AAR(24);AAR(25);AAR(26);AAR(27);AAR(28);AAR(29);AAR(30)
"N(Other, AAR(i))";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Pos:Neg(Other, AAR(i))";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Patell Z";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Generalized Sign Z";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Csect T";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"StdCSect Z";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Rank Z";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Generalized Rank T";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Adjusted Patell Z";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Adjusted StdCSect Z";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Generalized Rank Z";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Skewness Corrected T";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
