1;RPD;RUT;20.02.2020;ONE;-10;30;-11;250
2;BRKS;RUT;20.02.2020;ONE;-10;30;-11;250
3;CDAY;RUT;20.02.2020;ONE;-10;30;-11;250
4;AMZN;RUT;20.02.2020;ONE;-10;30;-11;250
5;AYX;RUT;20.02.2020;ONE;-10;30;-11;250
6;MODN;RUT;20.02.2020;ONE;-10;30;-11;250
7;GDDY;RUT;20.02.2020;ONE;-10;30;-11;250
8;SPWR;RUT;20.02.2020;ONE;-10;30;-11;250
9;NOW;RUT;20.02.2020;ONE;-10;30;-11;250
10;AB;RUT;20.02.2020;ONE;-10;30;-11;250
11;ACGL;RUT;20.02.2020;ONE;-10;30;-11;250
12;MTH;RUT;20.02.2020;ONE;-10;30;-11;250
13;MDB;RUT;20.02.2020;ONE;-10;30;-11;250
14;FTNT;RUT;20.02.2020;ONE;-10;30;-11;250
15;DISCA;RUT;20.02.2020;ONE;-10;30;-11;250
16;TPX;RUT;20.02.2020;ONE;-10;30;-11;250
17;AMP;RUT;20.02.2020;ONE;-10;30;-11;250
18;SAIA;RUT;20.02.2020;ONE;-10;30;-11;250
19;AMD;RUT;20.02.2020;ONE;-10;30;-11;250
20;BLK;RUT;20.02.2020;ONE;-10;30;-11;250
21;INS;RUT;20.02.2020;ONE;-10;30;-11;250
22;VRTX;RUT;20.02.2020;ONE;-10;30;-11;250
23;CMG;RUT;20.02.2020;ONE;-10;30;-11;250
24;STZ;RUT;20.02.2020;ONE;-10;30;-11;250
25;ZEN;RUT;20.02.2020;ONE;-10;30;-11;250
26;PPL;RUT;20.02.2020;ONE;-10;30;-11;250
27;MCK;RUT;20.02.2020;ONE;-10;30;-11;250
28;AFL;RUT;20.02.2020;ONE;-10;30;-11;250
29;AEL;RUT;20.02.2020;ONE;-10;30;-11;250
30;TDG;RUT;20.02.2020;ONE;-10;30;-11;250
31;BLL;RUT;20.02.2020;ONE;-10;30;-11;250
32;PETS;RUT;20.02.2020;ONE;-10;30;-11;250
33;CDLX;RUT;20.02.2020;ONE;-10;30;-11;250
34;SPSC;RUT;20.02.2020;ONE;-10;30;-11;250
35;CLGX;RUT;20.02.2020;ONE;-10;30;-11;250
36;CRM;RUT;20.02.2020;ONE;-10;30;-11;250
37;CSL;RUT;20.02.2020;ONE;-10;30;-11;250
38;BLUE;RUT;20.02.2020;ONE;-10;30;-11;250
39;ROKU;RUT;20.02.2020;ONE;-10;30;-11;250
40;PCH;RUT;20.02.2020;ONE;-10;30;-11;250
41;FLOW;RUT;20.02.2020;ONE;-10;30;-11;250
42;CSWI;RUT;20.02.2020;ONE;-10;30;-11;250
43;CYTK;RUT;20.02.2020;ONE;-10;30;-11;250
44;BFAM;RUT;20.02.2020;ONE;-10;30;-11;250
45;GGG;RUT;20.02.2020;ONE;-10;30;-11;250
46;V;RUT;20.02.2020;ONE;-10;30;-11;250
47;INFO;RUT;20.02.2020;ONE;-10;30;-11;250
48;NSTG;RUT;20.02.2020;ONE;-10;30;-11;250
49;AON;RUT;20.02.2020;ONE;-10;30;-11;250
50;TAP;RUT;20.02.2020;ONE;-10;30;-11;250
51;SO;RUT;20.02.2020;ONE;-10;30;-11;250
52;ARE;RUT;20.02.2020;ONE;-10;30;-11;250
53;WM;RUT;20.02.2020;ONE;-10;30;-11;250
54;AMN;RUT;20.02.2020;ONE;-10;30;-11;250
55;EQR;RUT;20.02.2020;ONE;-10;30;-11;250
56;NVEC;RUT;20.02.2020;ONE;-10;30;-11;250
57;MSI;RUT;20.02.2020;ONE;-10;30;-11;250
58;AAOI;RUT;20.02.2020;ONE;-10;30;-11;250
59;OHI;RUT;20.02.2020;ONE;-10;30;-11;250
60;OMCL;RUT;20.02.2020;ONE;-10;30;-11;250
61;BKH;RUT;20.02.2020;ONE;-10;30;-11;250
62;MTD;RUT;20.02.2020;ONE;-10;30;-11;250
63;ATKR;RUT;20.02.2020;ONE;-10;30;-11;250
64;EXEL;RUT;20.02.2020;ONE;-10;30;-11;250
65;VCRA;RUT;20.02.2020;ONE;-10;30;-11;250
66;ARNA;RUT;20.02.2020;ONE;-10;30;-11;250
67;MSGN;RUT;20.02.2020;ONE;-10;30;-11;250
68;CNST;RUT;20.02.2020;ONE;-10;30;-11;250
69;APLS;RUT;20.02.2020;ONE;-10;30;-11;250
70;JKHY;RUT;20.02.2020;ONE;-10;30;-11;250
71;CMI;RUT;20.02.2020;ONE;-10;30;-11;250
72;GKOS;RUT;20.02.2020;ONE;-10;30;-11;250
73;LHX;RUT;20.02.2020;ONE;-10;30;-11;250
74;TKR;RUT;20.02.2020;ONE;-10;30;-11;250
75;ANGI;RUT;20.02.2020;ONE;-10;30;-11;250
76;CSII;RUT;20.02.2020;ONE;-10;30;-11;250
77;LMT;RUT;20.02.2020;ONE;-10;30;-11;250
78;IIVI;RUT;20.02.2020;ONE;-10;30;-11;250
79;MKTX;RUT;20.02.2020;ONE;-10;30;-11;250
80;ENS;RUT;20.02.2020;ONE;-10;30;-11;250
81;USFD;RUT;20.02.2020;ONE;-10;30;-11;250
82;STL;RUT;20.02.2020;ONE;-10;30;-11;250
83;TEL;RUT;20.02.2020;ONE;-10;30;-11;250
84;BLFS;RUT;20.02.2020;ONE;-10;30;-11;250
85;PRU;RUT;20.02.2020;ONE;-10;30;-11;250
86;PATK;RUT;20.02.2020;ONE;-10;30;-11;250
87;CCXI;RUT;20.02.2020;ONE;-10;30;-11;250
88;CRL;RUT;20.02.2020;ONE;-10;30;-11;250
89;CARG;RUT;20.02.2020;ONE;-10;30;-11;250
90;VSH;RUT;20.02.2020;ONE;-10;30;-11;250
91;MAS;RUT;20.02.2020;ONE;-10;30;-11;250
92;FHN;RUT;20.02.2020;ONE;-10;30;-11;250
93;IRDM;RUT;20.02.2020;ONE;-10;30;-11;250
94;BSX;RUT;20.02.2020;ONE;-10;30;-11;250
